,texts,gender,country,filename
0,@katemoran1998 No I'm actually hurt,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
1,The fact the 1975 have the audacity to come to Dublin during my leaving THE HEIGHT OF RUDENESS,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
2,@cherhor0witz noted xx,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
3,My parents are probably the worst people to deal with when it comes to exam time they can't comprehend stress,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
4,I hate nosey people like if I wanted to tell you something you'd know now shoo,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
5,The central line tube in London is the devil's line,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
6,Ronan wants me to inform you all that this tweet was a glitch and he is my life x https://t.co/EbweQx2jvm,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
7,Why is there an option to upload straight to Instagram yeah I clearly want to post a picture to expose myself as the rat I am,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
8,I type tweets out all the time but they're too long so I bin them,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
9,Ronan's aftershave gives me life (not him),female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
10,It is only Wednesday,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
11,It gives me hope that there is people out there who have finished the leaving cert history exam,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
12,I used to want this year to go really slow so im ready for the LC but I don't even care anymore I'm ready to leave,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
13,"@relatabIe 
@CourtneyMcManu6  'her hairs shit anyway'",female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
14,My history book is for the second time this week drenched in coffee,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
15,Can I go one day without being a clutz thanks,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
16,My pandora ring being a tiny bit loose is dangerous I need it to be wedged onto my finger so I can't fiddle with it and lose it,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
17,I despise @AIBIreland with every fibre of my being,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
18,'I showered 2 hours ago how is my hair greasy' ~ a novel by me,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
19,@HanGraceMusic has the most unbelievable voice,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
20,This game has ruined me as a human being https://t.co/6MFzXyOPQF,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
21,"""It is not selfish to do what is best for you"" ✨✨✨",female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
22,Me and Courtney are welcoming in the new year sick in bed blowing our noses simultaneously and there's nowhere I'd rather be,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
23,@CiaraDalton my Mam is literally having a panic attack she was obsessed with him I'm in shock,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
24,I've realised taking out my contacts with acrylic nails on is the hardest thing I've ever had to do in my life,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
25,CHRISTMAS EVE BITCHACHAS 🎅🏼🎅🏼🎅🏼,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
26,When teachers tell you to 'take the break' and then proceed to give you 173 essays ?¿,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
27,@LaraFleming8 Constantly anxious,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
28,This laziness has to go,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
29,It's insane you spend 6 years with the same people and then after that see about 2 of them,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
30,Why do I shake constantly :(,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
31,@LaraFleming8 I've been scarred ever since,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
32,I adore my own company tbh,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
33,Why has the last one got a mop on her head https://t.co/fM1wKxHZpp,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
34,@CiaraDalton @LaraFleming8 Micheal Martin of fianna fail,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
35,@LaraFleming8 oh I sussed it with the spaced question marks and micheal,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
36,@LaraFleming8 Micheal :),female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
37,It's the fact my dad thought Justin Timberlake presented X factor and argued when I said he wasn't,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
38,Theorems and proofs need to pox off,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
39,@CiaraDalton flawless,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
40,@CiaraDalton AGH amazing that's such a good time to go,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
41,@CiaraDalton YUP YUP WHEN,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
